CustomerID,Lookalikes
C0001,C0120:0.8367;C0091:0.8309;C0112:0.8266
C0002,C0134:0.9509;C0106:0.9224;C0159:0.9093
C0003,C0031:0.9507;C0129:0.9075;C0195:0.8178
C0004,C0113:0.9246;C0104:0.8574;C0012:0.7455
C0005,C0007:0.967;C0140:0.8473;C0186:0.8205
C0006,C0187:0.8909;C0085:0.707;C0171:0.7026
C0007,C0005:0.967;C0140:0.8774;C0159:0.7385
C0008,C0098:0.816;C0194:0.8053;C0059:0.7828
C0009,C0062:0.8566;C0010:0.8515;C0198:0.8417
C0010,C0061:0.8913;C0062:0.8741;C0009:0.8515
C0011,C0153:0.8946;C0171:0.8661;C0126:0.8596
C0012,C0163:0.7704;C0039:0.7509;C0004:0.7455
C0013,C0087:0.7648;C0102:0.7574;C0099:0.7557
C0014,C0060:0.8345;C0009:0.7851;C0167:0.7762
C0015,C0036:0.9157;C0058:0.8917;C0144:0.8854
C0016,C0183:0.9997;C0067:0.8917;C0072:0.8778
C0017,C0075:0.9376;C0041:0.8547;C0081:0.8405
C0018,C0117:0.847;C0050:0.8158;C0035:0.7781
C0019,C0070:0.7611;C0121:0.7536;C0064:0.6991
C0020,C0144:0.8588;C0050:0.8583;C0015:0.8192
